file,misclassified
filtered_447173000_20240320_1729-20240320_1744_standardized_10s.csv,7
filtered_231803000_20241130_1927-20241130_1942_standardized_10s.csv,7
filtered_247118700_20240426_1158-20240426_1213_standardized_10s.csv,7
filtered_266212000_20240629_0620-20240629_0634_standardized_10s.csv,7
filtered_636093075_20240528_1108-20240528_1123_standardized_10s.csv,7
filtered_259143000_20240609_2004-20240609_2019_standardized_10s.csv,6
filtered_211686000_20240315_0408-20240315_0423_standardized_10s.csv,6
filtered_219861000_20240526_0833-20240526_0848_standardized_10s.csv,6
filtered_256525000_20240625_1408-20240625_1423_standardized_10s.csv,6
filtered_258933000_20240311_0241-20240311_0255_standardized_10s.csv,6
filtered_565138000_20241122_0457-20241122_0512_standardized_10s.csv,6
filtered_357028000_20240422_1205-20240422_1220_standardized_10s.csv,6
filtered_356188000_20240601_1341-20240601_1356_standardized_10s.csv,6
filtered_353732000_20240526_0852-20240526_0907_standardized_10s.csv,6
filtered_538004714_20240612_0913-20240612_0928_standardized_10s.csv,6
filtered_265177000_20240303_1426-20240303_1441_standardized_10s.csv,6
filtered_219358000_20240531_1750-20240531_1805_standardized_10s.csv,6
filtered_219022580_20240525_2021-20240525_2036_standardized_10s.csv,6
filtered_230006000_20240324_0647-20240324_0702_standardized_10s.csv,6
filtered_244870430_20240522_0558-20240522_0613_standardized_10s.csv,6
filtered_354540000_20240428_2031-20240428_2046_standardized_10s.csv,6
filtered_620999376_20240323_0246-20240323_0301_standardized_10s.csv,6
filtered_265025000_20240425_0957-20240425_1012_standardized_10s.csv,6
filtered_215933000_20240403_0002-20240403_0017_standardized_10s.csv,6
filtered_538007116_20240620_0035-20240620_0050_standardized_10s.csv,6
filtered_247255400_20240423_2324-20240423_2339_standardized_10s.csv,6
filtered_212018000_20240311_2119-20240311_2134_standardized_10s.csv,6
filtered_305210000_20240422_1109-20240422_1124_standardized_10s.csv,6
filtered_636016922_20240521_1933-20240521_1948_standardized_10s.csv,6
filtered_209671000_20240324_1628-20240324_1643_standardized_10s.csv,6
filtered_232025009_20240301_2116-20240301_2131_standardized_10s.csv,6
filtered_311027700_20240607_1617-20240607_1632_standardized_10s.csv,6
filtered_311307000_20240615_1621-20240615_1636_standardized_10s.csv,6
filtered_311855000_20240409_1743-20240409_1758_standardized_10s.csv,6
filtered_220446000_20240307_2016-20240307_2030_standardized_10s.csv,6
filtered_311921000_20240307_1927-20240307_1942_standardized_10s.csv,6
filtered_219021321_20240621_0252-20240621_0307_standardized_10s.csv,6
filtered_219543000_20240529_0638-20240529_0653_standardized_10s.csv,6
filtered_244150212_20240418_2052-20240418_2107_standardized_10s.csv,6
filtered_309193000_20240601_1132-20240601_1147_standardized_10s.csv,6
filtered_636016595_20240606_1232-20240606_1247_standardized_10s.csv,6
filtered_636016595_20240629_2002-20240629_2017_standardized_10s.csv,6
filtered_636016699_20240614_0947-20240614_1002_standardized_10s.csv,5
filtered_311000676_20240409_0413-20240409_0427_standardized_10s.csv,5
filtered_266465000_20240619_1224-20240619_1239_standardized_10s.csv,5
filtered_219437000_20241125_1831-20241125_1846_standardized_10s.csv,5
filtered_244870072_20240525_1701-20240525_1716_standardized_10s.csv,5
filtered_219281000_20240610_2025-20240610_2040_standardized_10s.csv,5
filtered_244178000_20240331_1536-20240331_1551_standardized_10s.csv,5
filtered_257081000_20240314_0556-20240314_0611_standardized_10s.csv,5
filtered_219670000_20241123_1136-20241123_1151_standardized_10s.csv,5
filtered_636020259_20240420_1212-20240420_1226_standardized_10s.csv,5
filtered_636021568_20241123_1500-20241123_1515_standardized_10s.csv,5
filtered_235087256_20240307_1903-20240307_1918_standardized_10s.csv,5
filtered_257206000_20240522_1729-20240522_1744_standardized_10s.csv,5
filtered_219021321_20240416_1239-20240416_1254_standardized_10s.csv,5
filtered_257084390_20240329_1937-20240329_1952_standardized_10s.csv,5
filtered_265410000_20240315_1645-20240315_1659_standardized_10s.csv,5
filtered_518998709_20240313_2024-20240313_2038_standardized_10s.csv,5
filtered_255802760_20240308_1349-20240308_1404_standardized_10s.csv,5
filtered_311000886_20240330_1933-20240330_1948_standardized_10s.csv,5
filtered_265410000_20240603_1815-20240603_1830_standardized_10s.csv,5
filtered_255806138_20240413_0259-20240413_0314_standardized_10s.csv,5
filtered_247255400_20240429_1754-20240429_1809_standardized_10s.csv,5
filtered_538007532_20240317_1539-20240317_1553_standardized_10s.csv,5
filtered_246436000_20240626_0207-20240626_0222_standardized_10s.csv,5
filtered_219449000_20240525_0100-20240525_0114_standardized_10s.csv,5
filtered_273250200_20240406_1935-20240406_1950_standardized_10s.csv,5
